id,label
20800,0
20801,1
20802,0
20803,1
20804,1
20805,1
20806,1
20807,1
20808,0
20809,1
20810,0
20811,1
20812,0
20813,1
20814,1
20815,0
20816,0
20817,1
20818,1
20819,1
20820,1
20821,1
20822,0
20823,1
20824,1
20825,0
20826,1
20827,0
20828,0
20829,1
20830,1
20831,1
20832,0
20833,0
20834,1
20835,0
20836,1
20837,1
20838,0
20839,0
20840,0
20841,1
20842,1
20843,1
20844,0
20845,1
20846,1
20847,0
20848,1
20849,1
20850,0
20851,0
20852,0
20853,1
20854,1
20855,0
20856,1
20857,0
20858,0
20859,1
20860,1
20861,0
20862,0
20863,1
20864,1
20865,1
20866,0
20867,1
20868,0
20869,1
20870,1
20871,1
20872,0
20873,1
20874,0
20875,0
20876,0
20877,0
20878,1
20879,1
20880,0
20881,1
20882,1
20883,1
20884,0
20885,0
20886,1
20887,0
20888,0
20889,1
20890,1
20891,0
20892,0
20893,1
20894,1
20895,0
20896,0
20897,1
20898,0
20899,0
20900,1
20901,1
20902,1
20903,0
20904,0
20905,0
20906,0
20907,0
20908,1
20909,1
20910,0
20911,1
20912,1
20913,0
20914,1
20915,1
20916,0
20917,0
20918,1
20919,1
20920,1
20921,1
20922,1
20923,1
20924,1
20925,1
20926,1
20927,1
20928,1
20929,0
20930,1
20931,0
20932,1
20933,1
20934,1
20935,0
20936,0
20937,0
20938,0
20939,1
20940,1
20941,1
20942,0
20943,1
20944,1
20945,0
20946,1
20947,1
20948,0
20949,0
20950,1
20951,1
20952,0
20953,1
20954,0
20955,1
20956,1
20957,1
20958,0
20959,1
20960,1
20961,1
20962,1
20963,0
20964,0
20965,1
20966,1
20967,1
20968,1
20969,1
20970,1
20971,0
20972,1
20973,0
20974,0
20975,1
20976,0
20977,1
20978,1
20979,1
20980,0
20981,1
20982,1
20983,1
20984,0
20985,1
20986,0
20987,0
20988,1
20989,1
20990,1
20991,1
20992,0
20993,1
20994,1
20995,0
20996,0
20997,1
20998,1
20999,1
21000,0
21001,1
21002,1
21003,1
21004,1
21005,1
21006,1
21007,0
21008,1
21009,1
21010,0
21011,1
21012,1
21013,1
21014,0
21015,1
21016,1
21017,0
21018,0
21019,0
21020,0
21021,1
21022,0
21023,1
21024,0
21025,1
21026,1
21027,1
21028,0
21029,0
21030,0
21031,0
21032,0
21033,1
21034,1
21035,1
21036,0
21037,0
21038,1
21039,1
21040,1
21041,0
21042,0
21043,1
21044,0
21045,1
21046,1
21047,1
21048,0
21049,1
21050,1
21051,1
21052,0
21053,0
21054,0
21055,1
21056,1
21057,1
21058,1
21059,1
21060,1
21061,1
21062,1
21063,1
21064,1
21065,1
21066,1
21067,1
21068,0
21069,1
21070,0
21071,1
21072,0
21073,1
21074,0
21075,0
21076,0
21077,0
21078,0
21079,0
21080,1
21081,1
21082,1
21083,1
21084,1
21085,0
21086,0
21087,0
21088,1
21089,1
21090,0
21091,1
21092,0
21093,1
21094,0
21095,0
21096,1
21097,1
21098,1
21099,0
21100,1
21101,0
21102,0
21103,1
21104,1
21105,0
21106,1
21107,1
21108,0
21109,0
21110,1
21111,0
21112,1
21113,0
21114,1
21115,1
21116,0
21117,1
21118,0
21119,0
21120,0
21121,0
21122,0
21123,1
21124,0
21125,1
21126,1
21127,0
21128,0
21129,1
21130,0
21131,1
21132,1
21133,1
21134,0
21135,1
21136,0
21137,1
21138,0
21139,1
21140,1
21141,1
21142,1
21143,0
21144,1
21145,0
21146,1
21147,1
21148,1
21149,1
21150,0
21151,0
21152,1
21153,0
21154,0
21155,1
21156,1
21157,0
21158,1
21159,0
21160,0
21161,0
21162,1
21163,0
21164,1
21165,0
21166,1
21167,1
21168,1
21169,0
21170,0
21171,0
21172,1
21173,0
21174,0
21175,0
21176,1
21177,0
21178,0
21179,0
21180,0
21181,0
21182,0
21183,1
21184,1
21185,1
21186,0
21187,1
21188,1
21189,0
21190,0
21191,1
21192,0
21193,1
21194,1
21195,1
21196,1
21197,1
21198,1
21199,1
21200,0
21201,1
21202,1
21203,1
21204,1
21205,0
21206,1
21207,0
21208,0
21209,1
21210,0
21211,1
21212,1
21213,0
21214,1
21215,0
21216,0
21217,0
21218,1
21219,1
21220,0
21221,0
21222,0
21223,1
21224,0
21225,0
21226,1
21227,1
21228,0
21229,1
21230,0
21231,0
21232,0
21233,1
21234,0
21235,0
21236,0
21237,1
21238,1
21239,1
21240,1
21241,0
21242,0
21243,1
21244,0
21245,0
21246,1
21247,1
21248,1
21249,1
21250,1
21251,0
21252,1
21253,1
21254,1
21255,0
21256,0
21257,1
21258,0
21259,0
21260,1
21261,1
21262,0
21263,0
21264,1
21265,0
21266,0
21267,0
21268,0
21269,1
21270,0
21271,1
21272,0
21273,0
21274,1
21275,0
21276,0
21277,0
21278,0
21279,1
21280,1
21281,1
21282,1
21283,1
21284,1
21285,1
21286,1
21287,1
21288,1
21289,0
21290,0
21291,1
21292,0
21293,0
21294,1
21295,0
21296,0
21297,1
21298,1
21299,1
21300,0
21301,1
21302,0
21303,0
21304,1
21305,1
21306,1
21307,0
21308,0
21309,1
21310,1
21311,1
21312,1
21313,0
21314,0
21315,1
21316,0
21317,0
21318,1
21319,0
21320,0
21321,1
21322,1
21323,0
21324,0
21325,1
21326,0
21327,0
21328,1
21329,1
21330,1
21331,1
21332,0
21333,0
21334,0
21335,1
21336,0
21337,0
21338,1
21339,0
21340,0
21341,0
21342,0
21343,1
21344,1
21345,1
21346,0
21347,0
21348,0
21349,0
21350,0
21351,1
21352,1
21353,0
21354,1
21355,1
21356,1
21357,1
21358,0
21359,0
21360,0
21361,1
21362,1
21363,0
21364,0
21365,1
21366,1
21367,0
21368,1
21369,0
21370,0
21371,0
21372,1
21373,0
21374,0
21375,0
21376,1
21377,0
21378,1
21379,1
21380,1
21381,0
21382,0
21383,1
21384,0
21385,1
21386,1
21387,0
21388,0
